Date,RT+ve,RA+ve,Total+ve,recovered,cont-zone,vaccinations,death,RT-tests,RA-tests,Total Tests,Active Cases
26-01-2021,,,1,,,,,,,152,4
25-01-2021,,,,1,,,,,,162,3
24-01-2021,,,,,,,,,,173,4
23-01-2021,,,,,,,,,,192,4
22-01-2021,,,1,,1,,,,,332,4
21-01-2021,,,,1,,,,,,206,3
20-01-2021,,,2,,2,,,,,277,4
19-01-2021,,,,,,,,,,205,2
18-01-2021,,,,,,,,,,90,2
17-01-2021,,,,,,,,,,749,2
16-01-2021,,,,,,,,,,525,2
15-01-2021,,,,,,,,,,338,2
14-01-2021,,,1,,1,,,,,648,2
13-01-2021,,,,1,,,,,,297,1
12-01-2021,,,,,,,,,,182,2
11-01-2021,,,1,,1,,,,,99,2
10-01-2021,,,,2,,,,,,201,1
09-01-2021,,,,,,,,,,260,3
08-01-2021,,,,,,,,,,208,3
07-01-2021,,,,,,,,,,229,3
06-01-2021,,,,1,,,,,,292,3
05-01-2021,,,,1,,,,,,203,4
04-01-2021,,,,1,,,,,,124,5
03-01-2021,,,1,2,1,,,,,306,6
02-01-2021,,,,,,,,,,214,7
01-01-2021,,,,,,,,,,257,7
